Percentage served,Time in ms
0,7.097
1,147.575
2,148.010
3,148.253
4,148.452
5,148.671
6,148.842
7,148.983
8,149.106
9,149.223
10,149.343
11,149.466
12,149.585
13,149.713
14,149.837
15,149.961
16,150.089
17,150.219
18,150.339
19,150.449
20,150.572
21,150.684
22,150.799
23,150.938
24,151.056
25,151.176
26,151.292
27,151.434
28,151.574
29,151.723
30,151.840
31,151.953
32,152.081
33,152.215
34,152.354
35,152.474
36,152.580
37,152.696
38,152.806
39,152.923
40,153.047
41,153.185
42,153.328
43,153.473
44,153.634
45,153.817
46,154.003
47,154.195
48,154.395
49,154.609
50,154.887
51,155.266
52,155.699
53,156.018
54,156.416
55,156.932
56,157.518
57,158.088
58,158.653
59,159.195
60,159.652
61,160.170
62,160.734
63,161.278
64,161.791
65,162.501
66,163.493
67,164.885
68,166.172
69,167.471
70,169.015
71,170.622
72,173.148
73,175.636
74,178.158
75,180.233
76,182.766
77,186.428
78,191.268
79,196.070
80,199.902
81,201.830
82,203.324
83,204.842
84,206.742
85,208.538
86,210.771
87,213.183
88,215.841
89,218.246
90,220.644
91,224.316
92,228.579
93,233.054
94,238.207
95,243.145
96,249.431
97,258.538
98,273.490
99,301.253
100,382.966
