Percentage served,Time in ms
0,2.308
1,2.830
2,3.058
3,3.393
4,3.713
5,4.036
6,4.369
7,4.752
8,5.009
9,5.179
10,5.359
11,5.652
12,6.080
13,6.486
14,6.879
15,7.264
16,7.576
17,7.846
18,8.147
19,8.621
20,9.076
21,9.534
22,9.994
23,10.387
24,10.756
25,11.314
26,11.802
27,12.336
28,12.844
29,13.361
30,14.020
31,14.794
32,15.501
33,16.152
34,16.949
35,17.756
36,18.506
37,19.303
38,20.348
39,21.357
40,22.505
41,23.515
42,24.505
43,25.605
44,26.702
45,27.960
46,29.226
47,30.710
48,32.214
49,33.887
50,35.514
51,37.260
52,39.163
53,41.297
54,43.477
55,45.866
56,48.368
57,51.286
58,53.759
59,56.443
60,59.859
61,63.071
62,65.912
63,68.036
64,69.299
65,70.185
66,70.927
67,71.622
68,72.416
69,73.449
70,74.698
71,76.131
72,77.688
73,79.486
74,81.638
75,84.588
76,87.897
77,92.711
78,98.708
79,106.691
80,117.127
81,132.581
82,146.060
83,160.585
84,173.568
85,186.647
86,198.163
87,210.847
88,223.157
89,233.582
90,244.015
91,254.962
92,264.588
93,276.774
94,289.839
95,301.542
96,314.795
97,330.677
98,355.995
99,393.004
100,1339.898
