Percentage served,Time in ms
0,4.988
1,10.549
2,10.852
3,11.054
4,11.208
5,11.336
6,11.447
7,11.543
8,11.621
9,11.701
10,11.776
11,11.842
12,11.905
13,11.966
14,12.020
15,12.072
16,12.125
17,12.174
18,12.223
19,12.269
20,12.313
21,12.360
22,12.401
23,12.440
24,12.479
25,12.515
26,12.555
27,12.593
28,12.630
29,12.667
30,12.705
31,12.743
32,12.777
33,12.810
34,12.847
35,12.885
36,12.917
37,12.949
38,12.982
39,13.014
40,13.047
41,13.083
42,13.117
43,13.150
44,13.183
45,13.216
46,13.249
47,13.283
48,13.316
49,13.349
50,13.380
51,13.410
52,13.441
53,13.474
54,13.510
55,13.543
56,13.577
57,13.610
58,13.646
59,13.682
60,13.713
61,13.748
62,13.782
63,13.820
64,13.856
65,13.891
66,13.930
67,13.967
68,14.008
69,14.046
70,14.083
71,14.127
72,14.168
73,14.213
74,14.258
75,14.304
76,14.349
77,14.396
78,14.447
79,14.496
80,14.547
81,14.605
82,14.660
83,14.722
84,14.788
85,14.858
86,14.930
87,15.009
88,15.091
89,15.180
90,15.284
91,15.395
92,15.515
93,15.663
94,15.844
95,16.095
96,16.432
97,17.118
98,1024.634
99,1036.050
100,27623.033
