Percentage served,Time in ms
0,0.226
1,3.974
2,4.868
3,5.313
4,5.592
5,5.783
6,5.950
7,6.086
8,6.189
9,6.281
10,6.364
11,6.431
12,6.497
13,6.558
14,6.611
15,6.663
16,6.711
17,6.758
18,6.801
19,6.843
20,6.880
21,6.918
22,6.956
23,6.990
24,7.023
25,7.055
26,7.088
27,7.120
28,7.152
29,7.183
30,7.213
31,7.245
32,7.273
33,7.304
34,7.331
35,7.359
36,7.385
37,7.414
38,7.443
39,7.470
40,7.497
41,7.526
42,7.552
43,7.579
44,7.605
45,7.631
46,7.660
47,7.689
48,7.717
49,7.745
50,7.772
51,7.802
52,7.832
53,7.863
54,7.892
55,7.922
56,7.955
57,7.985
58,8.015
59,8.047
60,8.080
61,8.115
62,8.148
63,8.183
64,8.219
65,8.252
66,8.288
67,8.326
68,8.365
69,8.407
70,8.445
71,8.488
72,8.533
73,8.581
74,8.629
75,8.682
76,8.740
77,8.798
78,8.863
79,8.931
80,9.003
81,9.077
82,9.167
83,9.257
84,9.356
85,9.467
86,9.591
87,9.728
88,9.884
89,10.055
90,10.268
91,10.476
92,10.735
93,11.025
94,11.346
95,11.679
96,12.152
97,12.701
98,13.732
99,15.728
100,27.168
