Percentage served,Time in ms
0,4.805
1,8.198
2,8.695
3,9.118
4,9.380
5,9.465
6,9.501
7,9.548
8,9.591
9,9.620
10,9.641
11,9.662
12,9.685
13,9.711
14,9.738
15,9.771
16,9.808
17,9.846
18,9.885
19,9.913
20,9.943
21,9.978
22,10.034
23,10.097
24,10.150
25,10.211
26,10.273
27,10.335
28,10.408
29,10.455
30,10.524
31,10.578
32,10.645
33,10.709
34,10.790
35,10.900
36,10.981
37,11.057
38,11.114
39,11.175
40,11.264
41,11.350
42,11.428
43,11.495
44,11.570
45,11.631
46,11.759
47,11.862
48,11.975
49,12.104
50,12.222
51,12.369
52,12.505
53,12.627
54,12.714
55,12.765
56,12.802
57,12.831
58,12.864
59,12.893
60,12.910
61,12.932
62,12.959
63,12.994
64,13.018
65,13.048
66,13.075
67,13.102
68,13.136
69,13.164
70,13.193
71,13.219
72,13.248
73,13.273
74,13.305
75,13.330
76,13.356
77,13.386
78,13.427
79,13.474
80,13.519
81,13.570
82,13.635
83,13.767
84,13.876
85,13.982
86,14.096
87,14.225
88,14.429
89,14.784
90,15.232
91,15.601
92,16.076
93,16.525
94,17.703
95,18.123
96,20.297
97,21.189
98,23.056
99,25.167
100,54.984
