Percentage served,Time in ms
0,4.442
1,8.839
2,8.886
3,8.918
4,8.945
5,8.967
6,8.984
7,9.000
8,9.013
9,9.027
10,9.041
11,9.054
12,9.066
13,9.078
14,9.090
15,9.102
16,9.114
17,9.126
18,9.139
19,9.150
20,9.162
21,9.174
22,9.184
23,9.197
24,9.208
25,9.220
26,9.233
27,9.245
28,9.255
29,9.268
30,9.280
31,9.292
32,9.305
33,9.316
34,9.330
35,9.345
36,9.360
37,9.374
38,9.387
39,9.401
40,9.415
41,9.428
42,9.443
43,9.458
44,9.474
45,9.490
46,9.506
47,9.522
48,9.541
49,9.558
50,9.575
51,9.595
52,9.614
53,9.634
54,9.655
55,9.673
56,9.694
57,9.717
58,9.740
59,9.759
60,9.780
61,9.798
62,9.817
63,9.838
64,9.857
65,9.877
66,9.897
67,9.917
68,9.936
69,9.953
70,9.973
71,9.994
72,10.016
73,10.039
74,10.064
75,10.089
76,10.115
77,10.141
78,10.170
79,10.200
80,10.236
81,10.272
82,10.308
83,10.347
84,10.390
85,10.432
86,10.489
87,10.551
88,10.625
89,10.704
90,10.796
91,10.881
92,10.995
93,11.192
94,11.460
95,11.726
96,11.964
97,12.343
98,12.857
99,13.720
100,36.465
