Percentage served,Time in ms
0,6.571
1,8.422
2,8.828
3,9.425
4,9.754
5,9.909
6,10.040
7,10.264
8,10.542
9,10.744
10,10.910
11,11.037
12,11.173
13,11.312
14,11.441
15,11.545
16,11.624
17,11.710
18,11.765
19,11.813
20,11.854
21,11.890
22,11.920
23,11.947
24,11.967
25,11.987
26,12.008
27,12.025
28,12.044
29,12.059
30,12.075
31,12.092
32,12.108
33,12.122
34,12.134
35,12.147
36,12.159
37,12.171
38,12.183
39,12.196
40,12.210
41,12.223
42,12.236
43,12.251
44,12.265
45,12.280
46,12.294
47,12.308
48,12.321
49,12.333
50,12.348
51,12.362
52,12.376
53,12.390
54,12.406
55,12.419
56,12.434
57,12.450
58,12.464
59,12.483
60,12.499
61,12.515
62,12.530
63,12.546
64,12.565
65,12.584
66,12.602
67,12.623
68,12.646
69,12.668
70,12.691
71,12.715
72,12.743
73,12.771
74,12.803
75,12.831
76,12.867
77,12.909
78,12.948
79,12.986
80,13.027
81,13.078
82,13.127
83,13.188
84,13.248
85,13.321
86,13.386
87,13.463
88,13.543
89,13.651
90,13.754
91,13.842
92,13.931
93,14.025
94,14.145
95,14.286
96,14.512
97,14.782
98,14.996
99,15.452
100,17.641
