Percentage served,Time in ms
0,11.757
1,24.398
2,42.346
3,56.790
4,77.696
5,94.413
6,110.149
7,125.367
8,127.563
9,128.380
10,128.966
11,129.491
12,130.107
13,130.670
14,131.015
15,131.307
16,131.785
17,132.314
18,132.783
19,133.128
20,133.595
21,134.052
22,134.398
23,134.997
24,135.568
25,136.097
26,136.818
27,137.563
28,138.734
29,139.633
30,140.327
31,140.804
32,141.649
33,142.324
34,143.250
35,143.538
36,143.995
37,144.396
38,144.781
39,145.238
40,145.546
41,145.844
42,146.338
43,146.825
44,147.393
45,147.642
46,148.509
47,149.080
48,149.771
49,150.446
50,151.760
51,152.107
52,152.615
53,153.580
54,154.193
55,154.582
56,155.175
57,155.906
58,156.575
59,157.519
60,158.378
61,158.982
62,159.848
63,160.456
64,161.757
65,162.351
66,163.491
67,164.222
68,165.210
69,166.409
70,167.878
71,169.045
72,170.292
73,171.587
74,173.263
75,176.656
76,179.729
77,181.038
78,182.868
79,184.479
80,185.563
81,186.566
82,186.945
83,187.725
84,188.698
85,189.226
86,190.260
87,190.817
88,191.999
89,192.794
90,193.807
91,194.410
92,194.997
93,196.299
94,197.135
95,197.796
96,198.567
97,199.338
98,200.649
99,203.447
100,245.744
